"dteday","season","yr","mnth","hr","holiday","weekday","workingday","cnt","weathersit","temp","atemp","hum","windspeed"
"2011-01-04","spring",0,1,4,0,2,1,2,"ClearOrPartlyCloudy",0.14,0.1818,0.63,0.0896
"2011-01-04","spring",0,1,5,0,2,1,4,"ClearOrPartlyCloudy",0.12,0.1515,0.68,0.1045
"2011-01-04","spring",0,1,6,0,2,1,36,"ClearOrPartlyCloudy",0.12,0.1515,0.74,0.1045
"2011-01-04","spring",0,1,7,0,2,1,94,"ClearOrPartlyCloudy",0.12,0.1515,0.74,0.1343
"2011-01-04","spring",0,1,8,0,2,1,179,"ClearOrPartlyCloudy",0.14,0.1515,0.69,0.1642
"2011-01-04","spring",0,1,9,0,2,1,100,"ClearOrPartlyCloudy",0.16,0.1515,0.64,0.2239
"2011-01-04","spring",0,1,10,0,2,1,42,"Misty",0.16,0.1364,0.69,0.3284
"2011-01-04","spring",0,1,11,0,2,1,57,"ClearOrPartlyCloudy",0.22,0.2121,0.51,0.2985
"2011-01-04","spring",0,1,12,0,2,1,78,"ClearOrPartlyCloudy",0.22,0.2273,0.51,0.1642
"2011-01-04","spring",0,1,13,0,2,1,97,"ClearOrPartlyCloudy",0.24,0.2273,0.56,0.194
"2011-01-04","spring",0,1,14,0,2,1,63,"ClearOrPartlyCloudy",0.26,0.2576,0.52,0.2239
"2011-01-04","spring",0,1,15,0,2,1,65,"ClearOrPartlyCloudy",0.28,0.2727,0.52,0.2537
"2011-01-04","spring",0,1,16,0,2,1,83,"ClearOrPartlyCloudy",0.3,0.2879,0.49,0.2537
"2011-01-04","spring",0,1,17,0,2,1,212,"ClearOrPartlyCloudy",0.28,0.2727,0.48,0.2239
"2011-01-04","spring",0,1,18,0,2,1,182,"ClearOrPartlyCloudy",0.26,0.2576,0.48,0.194
"2011-01-04","spring",0,1,19,0,2,1,112,"ClearOrPartlyCloudy",0.24,0.2576,0.48,0.1045
"2011-01-04","spring",0,1,20,0,2,1,54,"ClearOrPartlyCloudy",0.24,0.2576,0.48,0.1045
"2011-01-04","spring",0,1,21,0,2,1,48,"ClearOrPartlyCloudy",0.22,0.2727,0.64,0
"2011-01-04","spring",0,1,22,0,2,1,35,"ClearOrPartlyCloudy",0.22,0.2576,0.64,0.0896
"2011-01-04","spring",0,1,23,0,2,1,11,"ClearOrPartlyCloudy",0.2,0.2273,0.69,0.0896
"2011-01-05","spring",0,1,0,0,3,1,6,"ClearOrPartlyCloudy",0.2,0.2576,0.64,0
"2011-01-05","spring",0,1,1,0,3,1,6,"ClearOrPartlyCloudy",0.16,0.197,0.74,0.0896
"2011-01-05","spring",0,1,2,0,3,1,2,"ClearOrPartlyCloudy",0.16,0.197,0.74,0.0896
"2011-01-05","spring",0,1,4,0,3,1,2,"ClearOrPartlyCloudy",0.24,0.2273,0.48,0.2239
"2011-01-05","spring",0,1,5,0,3,1,3,"ClearOrPartlyCloudy",0.22,0.2273,0.47,0.1642
"2011-01-05","spring",0,1,6,0,3,1,33,"ClearOrPartlyCloudy",0.2,0.197,0.47,0.2239
"2011-01-05","spring",0,1,7,0,3,1,88,"ClearOrPartlyCloudy",0.18,0.1818,0.43,0.194
"2011-01-05","spring",0,1,8,0,3,1,195,"ClearOrPartlyCloudy",0.2,0.1818,0.4,0.2985
"2011-01-05","spring",0,1,9,0,3,1,115,"ClearOrPartlyCloudy",0.22,0.197,0.37,0.3284
"2011-01-05","spring",0,1,10,0,3,1,57,"ClearOrPartlyCloudy",0.22,0.197,0.37,0.3284
"2011-01-05","spring",0,1,11,0,3,1,46,"ClearOrPartlyCloudy",0.26,0.2273,0.33,0.3284
"2011-01-05","spring",0,1,12,0,3,1,79,"ClearOrPartlyCloudy",0.26,0.2273,0.33,0.3284
"2011-01-05","spring",0,1,13,0,3,1,71,"ClearOrPartlyCloudy",0.28,0.2576,0.3,0.2985
"2011-01-05","spring",0,1,14,0,3,1,62,"ClearOrPartlyCloudy",0.3,0.2879,0.28,0.194
"2011-01-05","spring",0,1,15,0,3,1,62,"ClearOrPartlyCloudy",0.3,0.2879,0.28,0.194
"2011-01-05","spring",0,1,16,0,3,1,89,"ClearOrPartlyCloudy",0.3,0.3182,0.28,0.0896
"2011-01-05","spring",0,1,17,0,3,1,190,"ClearOrPartlyCloudy",0.24,0.2273,0.38,0.194
"2011-01-05","spring",0,1,18,0,3,1,169,"ClearOrPartlyCloudy",0.24,0.2424,0.38,0.1343
"2011-01-05","spring",0,1,19,0,3,1,132,"ClearOrPartlyCloudy",0.24,0.2576,0.38,0.1045
"2011-01-05","spring",0,1,20,0,3,1,89,"ClearOrPartlyCloudy",0.22,0.2273,0.47,0.1642
"2011-01-05","spring",0,1,21,0,3,1,43,"ClearOrPartlyCloudy",0.2,0.197,0.51,0.194
"2011-01-05","spring",0,1,22,0,3,1,42,"ClearOrPartlyCloudy",0.18,0.197,0.55,0.1343
"2011-01-05","spring",0,1,23,0,3,1,19,"ClearOrPartlyCloudy",0.2,0.2576,0.47,0
"2011-01-06","spring",0,1,0,0,4,1,11,"ClearOrPartlyCloudy",0.18,0.2424,0.55,0
"2011-01-06","spring",0,1,1,0,4,1,4,"ClearOrPartlyCloudy",0.16,0.2273,0.64,0
"2011-01-06","spring",0,1,2,0,4,1,2,"ClearOrPartlyCloudy",0.16,0.2273,0.64,0
"2011-01-06","spring",0,1,4,0,4,1,1,"Misty",0.16,0.197,0.64,0.0896
"2011-01-06","spring",0,1,5,0,4,1,4,"Misty",0.14,0.1818,0.69,0.0896
"2011-01-06","spring",0,1,6,0,4,1,36,"Misty",0.14,0.1667,0.63,0.1045
"2011-01-06","spring",0,1,7,0,4,1,95,"Misty",0.16,0.2273,0.59,0
"2011-01-06","spring",0,1,8,0,4,1,219,"ClearOrPartlyCloudy",0.16,0.2273,0.59,0
"2011-01-06","spring",0,1,9,0,4,1,122,"Misty",0.18,0.2424,0.51,0
"2011-01-06","spring",0,1,10,0,4,1,45,"ClearOrPartlyCloudy",0.2,0.2576,0.47,0
"2011-01-06","spring",0,1,11,0,4,1,59,"ClearOrPartlyCloudy",0.22,0.2576,0.44,0.0896
"2011-01-06","spring",0,1,12,0,4,1,84,"ClearOrPartlyCloudy",0.26,0.2879,0.35,0
"2011-01-06","spring",0,1,13,0,4,1,67,"ClearOrPartlyCloudy",0.26,0.2727,0.35,0.1045
"2011-01-06","spring",0,1,14,0,4,1,70,"ClearOrPartlyCloudy",0.28,0.2727,0.36,0.1642
"2011-01-06","spring",0,1,15,0,4,1,62,"ClearOrPartlyCloudy",0.28,0.2727,0.36,0
"2011-01-06","spring",0,1,16,0,4,1,86,"ClearOrPartlyCloudy",0.26,0.2576,0.38,0.1642
"2011-01-06","spring",0,1,17,0,4,1,172,"ClearOrPartlyCloudy",0.22,0.2273,0.51,0.1642
"2011-01-06","spring",0,1,18,0,4,1,163,"ClearOrPartlyCloudy",0.22,0.2273,0.51,0.1343
"2011-01-06","spring",0,1,19,0,4,1,112,"ClearOrPartlyCloudy",0.22,0.2576,0.55,0.0896
"2011-01-06","spring",0,1,20,0,4,1,69,"ClearOrPartlyCloudy",0.2,0.2121,0.51,0.1642
"2011-01-06","spring",0,1,21,0,4,1,48,"Misty",0.22,0.2121,0.55,0.2239
"2011-01-06","spring",0,1,22,0,4,1,52,"Misty",0.22,0.2121,0.51,0.2836
"2011-01-06","spring",0,1,23,0,4,1,23,"Misty",0.2,0.197,0.59,0.194
"2011-01-07","spring",0,1,0,0,5,1,17,"Misty",0.2,0.197,0.64,0.194
"2011-01-07","spring",0,1,1,0,5,1,7,"Misty",0.2,0.197,0.69,0.2239
"2011-01-07","spring",0,1,2,0,5,1,1,"Misty",0.2,0.197,0.69,0.2239
"2011-01-07","spring",0,1,4,0,5,1,1,"Misty",0.2,0.2121,0.69,0.1343
"2011-01-07","spring",0,1,5,0,5,1,5,"LightSnowOrRain",0.22,0.2727,0.55,0
"2011-01-07","spring",0,1,6,0,5,1,34,"Misty",0.2,0.2576,0.69,0
"2011-01-07","spring",0,1,7,0,5,1,84,"ClearOrPartlyCloudy",0.2,0.2121,0.69,0.1343
"2011-01-07","spring",0,1,8,0,5,1,210,"ClearOrPartlyCloudy",0.2,0.197,0.51,0.2537
"2011-01-07","spring",0,1,9,0,5,1,134,"ClearOrPartlyCloudy",0.2,0.1818,0.47,0.2985
"2011-01-07","spring",0,1,10,0,5,1,63,"ClearOrPartlyCloudy",0.22,0.197,0.37,0.3284
"2011-01-07","spring",0,1,11,0,5,1,67,"Misty",0.2,0.197,0.4,0.2239
"2011-01-07","spring",0,1,12,0,5,1,59,"Misty",0.2,0.197,0.37,0.2537
"2011-01-07","spring",0,1,13,0,5,1,73,"Misty",0.2,0.1818,0.37,0.2836
"2011-01-07","spring",0,1,14,0,5,1,50,"Misty",0.2,0.197,0.4,0.2537
"2011-01-07","spring",0,1,15,0,5,1,72,"Misty",0.2,0.2121,0.37,0.1642
"2011-01-07","spring",0,1,16,0,5,1,87,"Misty",0.2,0.2121,0.37,0.1642
"2011-01-07","spring",0,1,17,0,5,1,187,"Misty",0.2,0.2576,0.37,0
"2011-01-07","spring",0,1,18,0,5,1,123,"ClearOrPartlyCloudy",0.2,0.2273,0.4,0.0896
"2011-01-07","spring",0,1,19,0,5,1,95,"ClearOrPartlyCloudy",0.16,0.197,0.55,0.0896
"2011-01-07","spring",0,1,20,0,5,1,51,"ClearOrPartlyCloudy",0.18,0.2121,0.47,0.1045
"2011-01-07","spring",0,1,21,0,5,1,39,"ClearOrPartlyCloudy",0.18,0.197,0.47,0.1343
"2011-01-07","spring",0,1,22,0,5,1,36,"Misty",0.18,0.197,0.43,0.1642
"2011-01-07","spring",0,1,23,0,5,1,15,"Misty",0.18,0.197,0.51,0.1642
"2011-01-08","spring",0,1,0,0,6,0,25,"Misty",0.18,0.197,0.51,0.1642
"2011-01-08","spring",0,1,1,0,6,0,16,"Misty",0.18,0.2121,0.55,0.0896
"2011-01-08","spring",0,1,2,0,6,0,16,"Misty",0.18,0.2424,0.55,0
"2011-01-08","spring",0,1,3,0,6,0,7,"LightSnowOrRain",0.18,0.197,0.55,0.1642
"2011-01-08","spring",0,1,4,0,6,0,1,"LightSnowOrRain",0.18,0.197,0.55,0.1642
"2011-01-08","spring",0,1,5,0,6,0,5,"Misty",0.16,0.1667,0.74,0.1642
"2011-01-08","spring",0,1,6,0,6,0,2,"Misty",0.16,0.1667,0.74,0.1642
"2011-01-08","spring",0,1,7,0,6,0,9,"Misty",0.16,0.1818,0.74,0.1045
"2011-01-08","spring",0,1,8,0,6,0,15,"LightSnowOrRain",0.16,0.1818,0.93,0.1045
"2011-01-08","spring",0,1,9,0,6,0,20,"LightSnowOrRain",0.16,0.1818,0.93,0.1045
"2011-01-08","spring",0,1,10,0,6,0,61,"Misty",0.18,0.197,0.8,0.1642
"2011-01-08","spring",0,1,11,0,6,0,62,"Misty",0.2,0.1818,0.69,0.3881
"2011-01-08","spring",0,1,12,0,6,0,98,"Misty",0.2,0.1818,0.59,0.3582
"2011-01-08","spring",0,1,13,0,6,0,102,"ClearOrPartlyCloudy",0.2,0.1818,0.44,0.3284
"2011-01-08","spring",0,1,14,0,6,0,95,"ClearOrPartlyCloudy",0.2,0.1667,0.32,0.4925
"2011-01-08","spring",0,1,15,0,6,0,74,"ClearOrPartlyCloudy",0.2,0.1667,0.32,0.4478
"2011-01-08","spring",0,1,16,0,6,0,76,"ClearOrPartlyCloudy",0.18,0.1364,0.29,0.4478
"2011-01-08","spring",0,1,17,0,6,0,69,"ClearOrPartlyCloudy",0.16,0.1212,0.37,0.5522
"2011-01-08","spring",0,1,18,0,6,0,55,"ClearOrPartlyCloudy",0.14,0.1212,0.39,0.2985
"2011-01-08","spring",0,1,19,0,6,0,30,"ClearOrPartlyCloudy",0.14,0.1212,0.36,0.2537
"2011-01-08","spring",0,1,20,0,6,0,28,"ClearOrPartlyCloudy",0.12,0.1212,0.36,0.2537
"2011-01-08","spring",0,1,21,0,6,0,37,"ClearOrPartlyCloudy",0.12,0.1061,0.39,0.3582
"2011-01-08","spring",0,1,22,0,6,0,34,"ClearOrPartlyCloudy",0.12,0.1061,0.36,0.3881
"2011-01-08","spring",0,1,23,0,6,0,22,"ClearOrPartlyCloudy",0.1,0.0606,0.39,0.4478
"2011-01-09","spring",0,1,0,0,0,0,25,"ClearOrPartlyCloudy",0.1,0.0758,0.42,0.3881
"2011-01-09","spring",0,1,1,0,0,0,12,"ClearOrPartlyCloudy",0.1,0.0606,0.42,0.4627
"2011-01-09","spring",0,1,2,0,0,0,11,"ClearOrPartlyCloudy",0.1,0.0606,0.46,0.4627
"2011-01-09","spring",0,1,3,0,0,0,4,"ClearOrPartlyCloudy",0.1,0.0758,0.46,0.4179
"2011-01-09","spring",0,1,4,0,0,0,1,"ClearOrPartlyCloudy",0.08,0.0909,0.53,0.194
"2011-01-09","spring",0,1,5,0,0,0,1,"ClearOrPartlyCloudy",0.08,0.0909,0.53,0.194
"2011-01-09","spring",0,1,6,0,0,0,1,"ClearOrPartlyCloudy",0.1,0.0909,0.49,0.2836
"2011-01-09","spring",0,1,7,0,0,0,6,"ClearOrPartlyCloudy",0.08,0.0909,0.53,0.194
"2011-01-09","spring",0,1,8,0,0,0,10,"ClearOrPartlyCloudy",0.1,0.0909,0.49,0.2836
"2011-01-09","spring",0,1,9,0,0,0,19,"ClearOrPartlyCloudy",0.12,0.0758,0.46,0.5224
"2011-01-09","spring",0,1,10,0,0,0,49,"ClearOrPartlyCloudy",0.14,0.1061,0.43,0.3881
"2011-01-09","spring",0,1,11,0,0,0,49,"ClearOrPartlyCloudy",0.16,0.1212,0.4,0.5224
"2011-01-09","spring",0,1,12,0,0,0,83,"ClearOrPartlyCloudy",0.18,0.1364,0.37,0.4478
"2011-01-09","spring",0,1,13,0,0,0,75,"ClearOrPartlyCloudy",0.2,0.1667,0.34,0.4478
"2011-01-09","spring",0,1,14,0,0,0,72,"ClearOrPartlyCloudy",0.22,0.1818,0.32,0.4627
"2011-01-09","spring",0,1,15,0,0,0,82,"ClearOrPartlyCloudy",0.22,0.197,0.35,0.3582
"2011-01-09","spring",0,1,16,0,0,0,92,"ClearOrPartlyCloudy",0.2,0.1667,0.34,0.4478
"2011-01-09","spring",0,1,17,0,0,0,62,"ClearOrPartlyCloudy",0.18,0.1515,0.37,0.3881
"2011-01-09","spring",0,1,18,0,0,0,48,"ClearOrPartlyCloudy",0.16,0.1364,0.4,0.3284
"2011-01-09","spring",0,1,19,0,0,0,41,"ClearOrPartlyCloudy",0.16,0.1364,0.43,0.3284
"2011-01-09","spring",0,1,20,0,0,0,38,"ClearOrPartlyCloudy",0.14,0.1212,0.46,0.2537
"2011-01-09","spring",0,1,21,0,0,0,20,"ClearOrPartlyCloudy",0.14,0.1061,0.46,0.4179
"2011-01-09","spring",0,1,22,0,0,0,15,"ClearOrPartlyCloudy",0.14,0.1212,0.46,0.2985
"2011-01-09","spring",0,1,23,0,0,0,6,"ClearOrPartlyCloudy",0.12,0.1364,0.5,0.194
"2011-01-10","spring",0,1,0,0,1,1,5,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2836
"2011-01-10","spring",0,1,1,0,1,1,1,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2836
"2011-01-10","spring",0,1,2,0,1,1,3,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2239
"2011-01-10","spring",0,1,3,0,1,1,1,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2239
"2011-01-10","spring",0,1,4,0,1,1,3,"ClearOrPartlyCloudy",0.1,0.1212,0.54,0.1343
"2011-01-10","spring",0,1,5,0,1,1,3,"ClearOrPartlyCloudy",0.1,0.1061,0.54,0.2537
"2011-01-10","spring",0,1,6,0,1,1,31,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2836
"2011-01-10","spring",0,1,7,0,1,1,77,"ClearOrPartlyCloudy",0.12,0.1212,0.5,0.2239
"2011-01-10","spring",0,1,8,0,1,1,188,"Misty",0.12,0.1212,0.5,0.2836
"2011-01-10","spring",0,1,9,0,1,1,94,"Misty",0.14,0.1212,0.5,0.2537
"2011-01-10","spring",0,1,10,0,1,1,31,"Misty",0.14,0.1212,0.5,0.2985
"2011-01-10","spring",0,1,11,0,1,1,30,"Misty",0.16,0.1364,0.47,0.2836
"2011-01-10","spring",0,1,12,0,1,1,52,"Misty",0.2,0.1818,0.4,0.2836
"2011-01-10","spring",0,1,13,0,1,1,54,"Misty",0.2,0.1818,0.4,0.2836
"2011-01-10","spring",0,1,14,0,1,1,47,"Misty",0.2,0.197,0.4,0.2239
"2011-01-10","spring",0,1,15,0,1,1,45,"Misty",0.2,0.197,0.4,0.2239
"2011-01-10","spring",0,1,16,0,1,1,74,"ClearOrPartlyCloudy",0.2,0.2121,0.4,0.1343
"2011-01-10","spring",0,1,17,0,1,1,178,"ClearOrPartlyCloudy",0.2,0.2273,0.4,0.1045
"2011-01-10","spring",0,1,18,0,1,1,155,"ClearOrPartlyCloudy",0.2,0.197,0.4,0.2239
"2011-01-10","spring",0,1,19,0,1,1,95,"ClearOrPartlyCloudy",0.16,0.1667,0.47,0.1642
"2011-01-10","spring",0,1,20,0,1,1,74,"ClearOrPartlyCloudy",0.16,0.1667,0.5,0.1642
"2011-01-10","spring",0,1,21,0,1,1,38,"ClearOrPartlyCloudy",0.14,0.1364,0.59,0.194
"2011-01-10","spring",0,1,22,0,1,1,24,"ClearOrPartlyCloudy",0.14,0.1515,0.59,0.1642
"2011-01-10","spring",0,1,23,0,1,1,18,"ClearOrPartlyCloudy",0.14,0.1515,0.59,0.1642
"2011-01-11","spring",0,1,0,0,2,1,12,"ClearOrPartlyCloudy",0.14,0.1667,0.59,0.1045
"2011-01-11","spring",0,1,1,0,2,1,3,"ClearOrPartlyCloudy",0.14,0.1515,0.59,0.1642
"2011-01-11","spring",0,1,2,0,2,1,3,"Misty",0.16,0.1515,0.55,0.194
"2011-01-11","spring",0,1,5,0,2,1,6,"Misty",0.16,0.1818,0.55,0.1343
"2011-01-11","spring",0,1,6,0,2,1,27,"Misty",0.16,0.1818,0.55,0.1343
"2011-01-11","spring",0,1,7,0,2,1,99,"Misty",0.16,0.2273,0.55,0
"2011-01-11","spring",0,1,8,0,2,1,217,"Misty",0.18,0.2121,0.51,0.0896
"2011-01-11","spring",0,1,9,0,2,1,130,"Misty",0.18,0.197,0.51,0.1642
"2011-01-11","spring",0,1,10,0,2,1,54,"Misty",0.2,0.2121,0.51,0.1642
"2011-01-11","spring",0,1,11,0,2,1,35,"Misty",0.2,0.2121,0.47,0.1343
"2011-01-11","spring",0,1,12,0,2,1,57,"Misty",0.2,0.2273,0.51,0.1045
"2011-01-11","spring",0,1,13,0,2,1,52,"Misty",0.2,0.2273,0.59,0.0896
"2011-01-11","spring",0,1,14,0,2,1,63,"Misty",0.2,0.2273,0.59,0.0896
"2011-01-11","spring",0,1,15,0,2,1,47,"Misty",0.16,0.197,0.8,0.0896
"2011-01-11","spring",0,1,16,0,2,1,76,"Misty",0.16,0.1515,0.86,0.2239
"2011-01-11","spring",0,1,17,0,2,1,136,"Misty",0.16,0.1515,0.86,0.2239
"2011-01-11","spring",0,1,18,0,2,1,95,"LightSnowOrRain",0.16,0.1818,0.93,0.1045
"2011-01-11","spring",0,1,19,0,2,1,51,"LightSnowOrRain",0.16,0.2273,0.93,0
"2011-01-11","spring",0,1,20,0,2,1,32,"LightSnowOrRain",0.16,0.1515,0.93,0.194
"2011-01-11","spring",0,1,21,0,2,1,20,"LightSnowOrRain",0.16,0.197,0.86,0.0896
"2011-01-11","spring",0,1,22,0,2,1,29,"LightSnowOrRain",0.16,0.1818,0.93,0.1045
"2011-01-11","spring",0,1,23,0,2,1,19,"LightSnowOrRain",0.16,0.197,0.93,0.0896
"2011-01-12","spring",0,1,0,0,3,1,7,"Misty",0.16,0.197,0.86,0.0896
